주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
186-1-000001,진잠우체국옆,공영,노상,"대전광역시 유성구 원내로39번길 25, (원내동)",대전광역시 유성구 원내동 92-14,18,3,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.30105684,127.3200761,2020-03-16
186-1-000002,진잠우체국 앞,공영,노상,"대전광역시 유성구 원내로39번길 17, (원내동)",대전광역시 유성구 원내동 93-12,25,3,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.30059577,127.3199495,2020-03-16
186-1-000003,카운티스 앞,공영,노상,,대전광역시 유성구 노은동 572,52,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-1-000004,동원수산 앞,공영,노상,,대전광역시 유성구 노은동 594,64,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-1-000005,반석동공영주변,공영,노상,,대전광역시 유성구 반석동 641,46,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-1-000006,송강청솔@~송강@,공영,노상,"대전광역시 유성구 와룡로136번길 15, (봉산동, 하늘바람휴먼시아)",대전광역시 유성구 봉산동 295,25,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.43826265,127.382457,2020-03-16
186-1-000007,유성장로교회앞,공영,노상,"대전광역시 유성구 계룡로16번길 43, (구암동)",대전광역시 유성구 구암동 590-21,42,1,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.35454181,127.3313423,2020-03-16
186-1-000008,유성고등학교 주변,공영,노상,,대전광역시 유성구 구암동 611-31,16,1,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-1-000009,성원상떼빌 주변,공영,노상,"대전광역시 유성구 온천서로 36-19, (장대동, 성원상떼빌)",대전광역시 유성구 장대동 376-2,45,1,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.35834166,127.3401468,2020-03-16
186-1-000010,계룡스파텔 옆,공영,노상,"대전광역시 유성구 온천로 81, (봉명동)",대전광역시 유성구 봉명동 539-1,34,1,미시행,평일,10:00,22:00,12:00,12:00,12:00,12:00,혼합,10,400,10,300,,,,,,대전광역시 유성구청,042-611-2956,36.35512923,127.3478826,2020-03-16
186-1-000011,청주해장국 앞,공영,노상,"대전광역시 유성구 대학로 23, (봉명동)",대전광역시 유성구 봉명동 535-7,10,1,미시행,평일,10:00,22:00,12:00,12:00,12:00,12:00,혼합,10,400,10,300,,,,,,대전광역시 유성구청,042-611-2956,36.35606251,127.3417546,2020-03-16
186-1-000012,유성우체국 앞,공영,노상,"대전광역시 유성구 온천로 45, (봉명동)",대전광역시 유성구 봉명동 536-8,21,1,미시행,평일,10:00,22:00,12:00,12:00,12:00,12:00,혼합,10,400,10,300,,,,,,대전광역시 유성구청,042-611-2956,36.35581737,127.3430192,2020-03-16
186-1-000013,아드리아호텔 앞,공영,노상,"대전광역시 유성구 온천로 27, (봉명동)",대전광역시 유성구 봉명동 442-4,26,1,미시행,평일,10:00,22:00,12:00,12:00,12:00,12:00,혼합,10,400,10,300,,,,,,대전광역시 유성구청,042-611-2956,36.35601107,127.3408319,2020-03-16
186-1-000014,유성호텔 앞,공영,노상,,대전광역시 유성구 봉명동 528,20,1,미시행,평일,10:00,22:00,12:00,12:00,12:00,12:00,혼합,10,400,10,300,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
