주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
183-2-000028,중앙시장 제3공영주차장,공영,노외,,대전광역시 동구 중동 93-2,53,1,미시행,평일+토요일,0:00,23:59,0:00,0:00,0:00,0:00,유료,15,400,15,300,,,,현금,,대전광역시 동구청,042-251-4904,36.33015952,127.431466,2021-04-30
183-2-000029,천동 주차장,공영,노외,,대전광역시 동구 천동 513,14,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.31619595,127.4464511,2021-04-30
183-2-000034,선화교 하상주차장(삼성동),공영,노외,,대전광역시 동구 삼성동 448-4,70,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.33328345,127.4254312,2021-04-30
183-2-000036,신흥동 제1치수교 하상주차장,공영,노외,,대전광역시 동구 신흥동 206-3,51,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.3221879,127.4439629,2021-04-30
183-2-000025,인동시장노외공영주차장,공영,노외,,대전광역시 동구 인동 30-1,31,1,미시행,평일,0:00,23:59,0:00,0:00,0:00,0:00,유료,15,400,15,300,,,,현금,,대전광역시 동구청,042-251-4904,36.32262171,127.4362841,2021-04-30
183-2-000026,정동 노외공영주차장,공영,노외,,대전광역시 동구 정동 3-4,44,1,미시행,평일,0:00,23:59,0:00,0:00,0:00,0:00,유료,15,400,15,300,,,,현금,,대전광역시 동구청,042-251-4904,36.33500223,127.4311474,2021-04-30
183-2-000020,용운시장 주차장,공영,노외,,대전광역시 동구 용운동 349-4,22,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.32724201,127.4604354,2021-04-30
183-2-000021,용전동 제2공영주차장(BBS부지),공영,노외,,대전광역시 동구 용전동 232,30,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.35171254,127.4351109,2021-04-30
183-2-000023,용전동주민센터옆공영주차장,공영,노외,,대전광역시 동구 용전동 28-34,17,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.35784901,127.432148,2021-04-30
183-2-000005,대동복지센터주차장,공영,노외,,대전광역시 동구 대동 1-842,19,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.33039612,127.4506836,2021-04-30
183-2-000006,대동이스트시티옆 공영주차장,공영,노외,,대전광역시 동구 신흥동 258,15,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.32696603,127.4407116,2021-04-30
183-2-000007,대성동 노외공영주차장,공영,노외,,대전광역시 동구 대성동 419,15,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.29929897,127.4589115,2021-04-30
183-2-000008,대전천변 노외공영주차장,공영,노외,,대전광역시 동구 중동 51-16,57,1,미시행,평일,0:00,23:59,0:00,0:00,0:00,0:00,유료,15,400,15,300,,,,현금,,대전광역시 동구청,042-251-4904,36.33170024,127.4280998,2021-04-30
183-2-000009,대전천주변노외공영주차장,공영,노외,,대전광역시 동구 중동 51-16,57,1,미시행,평일,0:00,23:59,0:00,0:00,0:00,0:00,유료,15,400,15,300,,,,현금,,대전광역시 동구청,042-251-4904,,,2021-04-30
183-2-000010,세천4 공한지 주차장,공영,노외,,대전광역시 동구 세천동 321-4,5,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.33306946,127.4848769,2021-04-30
183-2-000011,세천5 공한지 주차장,공영,노외,,대전광역시 동구 세천동 18-21,11,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.33869794,127.4918832,2021-04-30
183-2-000012,세천6 공한지 주차장,공영,노외,,대전광역시 동구 세천동 35-2,10,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.34100791,127.4914369,2021-04-30
183-2-000013,세천7 공한지 주차장,공영,노외,,대전광역시 동구 세천동 32-9,14,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.34262877,127.4909165,2021-04-30
183-2-000014,세천8 공한지 주차장,공영,노외,,대전광역시 동구 세천동 76-1,9,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.34249528,127.4932452,2021-04-30
183-2-000016,신상동 안아감마을 공동주차장,공영,노외,,대전광역시 동구 신상동 150-1,40,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.35303478,127.5153256,2021-04-30
183-2-000017,신하동 마을공영주차장,공영,노외,,대전광역시 동구 신하동 343-15,15,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.36236129,127.5011658,2021-04-30
183-1-000048,홍도동 경성3차@~청룡@ 주변,공영,노상,,대전광역시 동구 홍도동 13-11,33,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.34597886,127.4298085,2021-04-30
183-2-000002,가양동체육센터앞주차장,공영,노외,,대전광역시 동구 가양동 709-1,18,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.3394448,127.4377187,2021-04-30
183-2-000003,낭월동 공한지 주차장,공영,노외,,대전광역시 동구 낭월동 584,12,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.27856609,127.4679419,2021-04-30
183-1-000029,"용운동 삼정하이츠, 문충사 주변",공영,노상,,대전광역시 동구 용운동 538,41,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.32606044,127.4583598,2021-04-30
183-1-000031,용운동 일반통행길(하행길),공영,노상,,대전광역시 동구 용운동 460,21,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.32681281,127.4524769,2021-04-30
183-1-000032,용운동 일방통행길(상행길),공영,노상,,대전광역시 동구 용운동 147,38,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.3287129,127.4540318,2021-04-30
183-1-000034,우송대학교 서 캠퍼스 후문,공영,노상,,대전광역시 동구 자양동 147-11,26,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.33685081,127.4467792,2021-04-30
183-1-000035,원동중동 천변 노상,공영,노상,,대전광역시 동구 중동 47-52,62,1,미시행,평일,0:00,23:59,0:00,0:00,0:00,0:00,유료,15,400,15,300,,,,현금,,대전광역시 동구청,042-251-4904,36.33267309,127.4266419,2021-04-30
183-1-000037,자양동 쌍용주유소 뒷길,공영,노상,,대전광역시 동구 자양동 345,45,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.34106397,127.4500364,2021-04-30
183-1-000038,자양동 우송대학교 동 캠퍼스 담길,공영,노상,,대전광역시 동구 자양동 98-17,30,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.33549492,127.4520705,2021-04-30
183-1-000041,판암1동 주공(아) 211동 담길,공영,노상,,대전광역시 동구 판암동 717,26,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.31773354,,2021-04-30
183-1-000043,판암IC옆(개심사 가는 방향),공영,노상,,대전광역시 동구 판암동 3,25,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.31821513,127.4655034,2021-04-30
183-1-000044,판암동 복개도로 위(삼성전자 판매장 뒤),공영,노상,,대전광역시 동구 판암동 570,12,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.31890191,127.4518006,2021-04-30
183-1-000020,"삼성동 한국아파트 주변(현암로18번길, 태전로174번 안길)",공영,노상,,대전광역시 동구 삼성동 383-4,21,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.34352237,127.4182839,2021-04-30
183-2-000032,삼정동구정골마을공영주차장,공영,노외,,대전광역시 동구 삼정동 70,10,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대전광역시 동구청,042-251-4904,36.32613962,127.4752925,2021-04-30
